Id,WnvPresent
1,8.66989375936e-06
2,5.65274558539e-06
3,5.65274558539e-06
4,1.24223103592e-12
5,1.3758606884e-13
6,1.21257514252e-07
7,5.65274558539e-06
8,5.65274558539e-06
9,1.44697960422e-05
10,9.63140973909e-06
11,9.63140973909e-06
12,1.02871303056e-12
13,1.30110413546e-13
14,1.37182922799e-07
15,9.63140973909e-06
16,9.63140973909e-06
17,3.99292039219e-05
18,3.43521860486e-05
19,3.43521860486e-05
20,1.87570054974e-12
21,4.22818789529e-13
22,4.32094481084e-07
23,3.43521860486e-05
24,3.43521860486e-05
25,1.52280250632e-07
26,2.68750905974e-08
27,2.68750905974e-08
28,6.83383428988e-16
29,4.43351139751e-17
30,6.78378811458e-11
31,2.68750905974e-08
32,2.68750905974e-08
33,2.28683660453e-07
34,4.82395812185e-08
35,4.82395812185e-08
36,1.12737957109e-15
37,8.19851726151e-17
38,1.15173377779e-10
39,4.82395812185e-08
40,4.82395812185e-08
41,1.07286197704e-07
42,1.99635312725e-08
43,1.99635312725e-08
44,7.03783846945e-16
45,4.15702561602e-17
46,4.87863603682e-11
47,1.99635312725e-08
48,1.99635312725e-08
49,1.43505658912e-07
50,2.71424518417e-08
51,2.71424518417e-08
52,7.76955052792e-16
53,4.61299006897e-17
54,6.38956318411e-11
55,2.71424518417e-08
56,2.71424518417e-08
57,8.05757849776e-07
58,4.38167518269e-07
59,4.38167518269e-07
60,2.6422997972e-14
61,2.46953493387e-15
62,1.98989313915e-09
63,4.38167518269e-07
64,4.38167518269e-07
65,4.98891040479e-07
66,2.55831821505e-07
67,2.55831821505e-07
68,5.81730750878e-15
69,6.54209337883e-16
70,6.98432978119e-10
71,2.55831821505e-07
72,2.55831821505e-07
73,1.00576221485e-06
74,2.61975145577e-07
75,2.61975145577e-07
76,4.38211715992e-14
77,4.58984241876e-15
78,1.70848257763e-09
79,2.61975145577e-07
80,2.61975145577e-07
81,3.34035632932e-07
82,1.16855460419e-07
83,1.16855460419e-07
84,3.04155703546e-15
85,3.14073940551e-16
86,3.73395980802e-10
87,1.16855460419e-07
88,1.16855460419e-07
89,4.16427866412e-07
90,1.19204777604e-07
91,1.19204777604e-07
92,1.44773109516e-14
93,1.53467991658e-15
94,7.11709913226e-10
95,1.19204777604e-07
96,1.19204777604e-07
97,6.18900003246e-07
98,1.97677195501e-07
99,1.97677195501e-07
100,2.48044094894e-14
101,2.50784072836e-15
102,1.19636078821e-09
103,1.97677195501e-07
104,1.97677195501e-07
105,2.07693210541e-06
106,7.97588882051e-07
107,7.97588882051e-07
108,8.56279413016e-15
109,1.29482199702e-15
110,2.0675441359e-09
111,7.97588882051e-07
112,7.97588882051e-07
113,3.81460813514e-05
114,8.14643062768e-05
115,8.14643062768e-05
116,8.86469977285e-12
117,8.125056075e-13
118,7.30034230401e-07
119,8.14643062768e-05
120,8.14643062768e-05
121,1.65431742971e-07
122,2.97469355814e-08
123,2.97469355814e-08
124,1.51195857541e-16
125,3.75399840616e-17
126,2.97916497027e-10
127,2.97469355814e-08
128,2.97469355814e-08
129,2.62853563981e-06
130,4.36951313532e-06
131,4.36951313532e-06
132,7.44447472417e-13
133,6.90503901345e-14
134,4.6785824992e-08
135,4.36951313532e-06
136,4.36951313532e-06
137,1.89513357327e-05
138,1.01975401776e-05
139,1.01975401776e-05
140,3.98588795433e-13
141,6.09109591649e-14
142,4.52277788554e-08
143,1.01975401776e-05
144,1.01975401776e-05
145,4.902683213e-05
146,3.17813282891e-05
147,3.17813282891e-05
148,1.29011796905e-12
149,3.83645318205e-13
150,4.115005936e-07
151,3.17813282891e-05
152,3.17813282891e-05
153,1.2874265849e-05
154,8.88658723852e-06
155,8.88658723852e-06
156,3.35114640031e-12
157,3.49428331322e-13
158,3.33460803859e-07
159,8.88658723852e-06
160,8.88658723852e-06
161,7.41089115763e-06
162,3.92471662281e-07
163,3.92471662281e-07
164,2.59372482937e-14
165,1.98791072952e-15
166,1.54161785559e-08
167,3.92471662281e-07
168,3.92471662281e-07
169,2.10738471651e-06
